token,job_link,is_relevant,reason,score
stripe,https://job-boards.greenhouse.io/stripe/jobs/7532733,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7746909,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7306915,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7607568,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7539429,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7458833,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7528816,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7218796,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7664841,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7746888,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7451366,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7394627,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7483724,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7542218,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7576967,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7353623,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7451383,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7577015,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7459450,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7675661,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7393169,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7728365,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7455982,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7782969,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7555127,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7277406,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7339700,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7452593,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7118945,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7680368,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7434713,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7844214,no,title_mismatch,10
stripe,https://job-boards.greenhouse.io/stripe/jobs/7286376,no,excluded:manager,15
stripe,https://job-boards.greenhouse.io/stripe/jobs/7694113,no,title_mismatch,5
stripe,https://job-boards.greenhouse.io/stripe/jobs/7543559,no,title_mismatch,10
stripe,https://job-boards.greenhouse.io/stripe/jobs/7550154,no,title_mismatch,5
stripe,https://job-boards.greenhouse.io/stripe/jobs/7778627,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7557403,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7764914,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7695357,no,title_mismatch,5
stripe,https://job-boards.greenhouse.io/stripe/jobs/7657130,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7675097,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7737241,no,excluded:intern,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7737237,no,excluded:intern,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/6176758,no,excluded:intern,25
stripe,https://job-boards.greenhouse.io/stripe/jobs/7369543,no,excluded:intern,30
stripe,https://job-boards.greenhouse.io/stripe/jobs/7579264,no,excluded:intern,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7826765,no,excluded:intern,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/4921361,no,excluded:intern,30
stripe,https://job-boards.greenhouse.io/stripe/jobs/7217048,no,excluded:intern,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/6567253,no,excluded:intern,10
stripe,https://job-boards.greenhouse.io/stripe/jobs/7182617,no,excluded:intern,15
stripe,https://job-boards.greenhouse.io/stripe/jobs/6865161,no,excluded:intern,25
stripe,https://job-boards.greenhouse.io/stripe/jobs/7476555,no,excluded:intern,10
stripe,https://job-boards.greenhouse.io/stripe/jobs/7292520,no,excluded:intern,10
stripe,https://job-boards.greenhouse.io/stripe/jobs/7249744,no,excluded:intern,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/6163230,no,excluded:intern,30
stripe,https://job-boards.greenhouse.io/stripe/jobs/7232592,no,excluded:intern,30
stripe,https://job-boards.greenhouse.io/stripe/jobs/7235875,no,excluded:ios,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7115730,no,title_mismatch,10
stripe,https://job-boards.greenhouse.io/stripe/jobs/7793636,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7476752,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7179634,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7748617,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7456081,no,title_mismatch,5
stripe,https://job-boards.greenhouse.io/stripe/jobs/7524334,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7584016,no,title_mismatch,5
stripe,https://job-boards.greenhouse.io/stripe/jobs/7551322,no,title_mismatch,10
stripe,https://job-boards.greenhouse.io/stripe/jobs/7682459,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7572925,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7815794,no,title_mismatch,5
stripe,https://job-boards.greenhouse.io/stripe/jobs/7398150,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7823081,no,title_mismatch,10
stripe,https://job-boards.greenhouse.io/stripe/jobs/7392188,no,title_mismatch,0
stripe,https://job-boards.greenhouse.io/stripe/jobs/7564387,no,title_mismatch,10
